Transaction_ID,Amount,Transaction_Type,Merchant,Location,Hour,Day_of_Week,Account_Type,Fraudulent
1,380.7947176588889,Credit,Walmart,Local,14,Tuesday,Personal,0
2,951.2071633,Debit,Amazon,International,14,Wednesday,Personal,0
3,734.6740023932911,Debit,Amazon,International,2,Monday,Business,0
4,602.6718993550662,Debit,Walmart,Local,19,Wednesday,Personal,0
5,164.45845403801215,Credit,Target,Local,18,Saturday,Personal,0
6,164.43457513284062,Debit,Target,International,14,Wednesday,Personal,0
7,67.50277604651747,Debit,Walmart,Local,18,Saturday,Business,0
8,867.5143843171858,Credit,Target,Local,7,Thursday,Business,0
9,605.1038616257767,Credit,Target,International,22,Saturday,Business,0
10,710.9918520180851,Credit,Target,International,12,Friday,Personal,0
11,30.378649352844423,Credit,Walmart,Local,22,Wednesday,Business,0
12,970.2107536403744,Debit,Amazon,Local,9,Tuesday,Business,0
13,834.1182143924175,Credit,Amazon,International,1,Thursday,Business,0
14,220.2157195714934,Debit,Amazon,Local,10,Sunday,Business,0
15,190.00671753502962,Credit,Amazon,Local,21,Monday,Personal,0
16,191.5704647548995,Credit,Amazon,International,18,Saturday,Business,0
17,311.1998205299424,Debit,Target,Local,8,Friday,Business,0
18,529.5088673159155,Debit,Target,Local,8,Thursday,Business,0
19,437.62556845569463,Debit,Target,Local,5,Wednesday,Business,0
20,298.3168487960615,Credit,Walmart,Local,9,Sunday,Personal,0
21,615.7343657751557,Credit,Target,International,21,Sunday,Personal,0
22,148.09892204552142,Debit,Amazon,Local,23,Thursday,Business,0
23,299.22320204986596,Debit,Target,Local,7,Tuesday,Personal,0
24,372.6982248607548,Credit,Amazon,International,14,Tuesday,Personal,0
25,461.50928437486556,Debit,Target,Local,5,Tuesday,Business,0
26,787.3242017790834,Debit,Amazon,Local,6,Friday,Personal,0
27,207.67704433677613,Credit,Target,International,19,Sunday,Business,0
28,519.0920940294754,Debit,Amazon,Local,16,Thursday,Personal,0
29,596.4904231734221,Credit,Amazon,Local,3,Thursday,Business,0
30,55.98590859279775,Credit,Walmart,Local,7,Sunday,Personal,0
31,611.4694033824239,Credit,Target,Local,12,Wednesday,Personal,0
32,178.8188824504186,Debit,Amazon,Local,23,Monday,Business,0
33,74.40107705542673,Debit,Target,Local,13,Tuesday,Personal,0
34,949.3966818807999,Debit,Amazon,Local,17,Monday,Business,0
35,965.9757127438138,Debit,Walmart,International,22,Sunday,Personal,0
36,810.3133746352966,Credit,Walmart,International,16,Sunday,Business,0
37,311.56763148163697,Credit,Walmart,International,17,Monday,Personal,0
38,106.69539286632003,Debit,Walmart,Local,13,Tuesday,Personal,0
39,687.3906962470353,Debit,Amazon,International,23,Tuesday,Personal,0
40,445.7509688022053,Debit,Target,International,10,Wednesday,Personal,0
41,130.81785249633106,Debit,Walmart,International,9,Friday,Personal,0
42,500.2251410101575,Credit,Walmart,International,12,Tuesday,Business,0
43,44.04463590406621,Debit,Walmart,Local,19,Monday,Business,0
44,910.2271980579942,Credit,Target,Local,15,Sunday,Business,0
45,266.1921817840167,Debit,Amazon,Local,13,Wednesday,Business,1
46,665.8970615104422,Debit,Amazon,International,2,Thursday,Personal,0
47,318.59396532851684,Debit,Amazon,Local,17,Sunday,Business,0
48,524.8673409660327,Credit,Amazon,International,5,Wednesday,Business,0
49,551.2431765498469,Debit,Target,Local,19,Tuesday,Personal,0
50,193.00591097027177,Credit,Target,Local,2,Sunday,Business,0
51,969.8887815,Credit,Target,International,18,Saturday,Personal,0
52,777.3814951275034,Debit,Walmart,International,2,Tuesday,Business,0
53,940.1039521485473,Credit,Target,Local,11,Friday,Personal,0
54,895.8790769233724,Credit,Amazon,Local,7,Wednesday,Personal,0
55,601.9209790229743,Credit,Target,Local,4,Tuesday,Personal,0
56,922.6554926728857,Debit,Walmart,International,16,Monday,Business,0
57,97.60757703,Credit,Amazon,International,9,Monday,Personal,0
58,204.02303379495373,Credit,Target,International,20,Wednesday,Business,0
59,54.775016021432684,Debit,Amazon,International,16,Sunday,Personal,0
60,332.0770274556317,Debit,Amazon,Local,8,Friday,Personal,0
61,394.7905167925872,Credit,Target,International,12,Saturday,Personal,0
62,278.63554145615694,Credit,Target,International,9,Wednesday,Personal,0
63,830.4501341,Credit,Walmart,International,7,Friday,Personal,0
64,363.1857934266534,Credit,Target,Local,6,Monday,Personal,0
65,288.1251645905069,Debit,Target,Local,1,Tuesday,Business,0
66,547.2691223,Debit,Target,International,1,Thursday,Personal,1
67,149.51498272501502,Credit,Amazon,International,3,Tuesday,Personal,0
68,804.1750109464992,Debit,Walmart,Local,8,Monday,Business,0
69,83.80513724297312,Credit,Amazon,Local,13,Saturday,Business,0
70,987.0180672345122,Debit,Target,International,23,Sunday,Personal,1
71,774.5223216036909,Debit,Walmart,Local,10,Monday,Personal,0
72,206.72852471883067,Credit,Target,International,20,Tuesday,Personal,0
73,15.466895952366375,Credit,Amazon,Local,6,Tuesday,Personal,0
74,817.3068141702859,Credit,Amazon,International,18,Saturday,Business,0
75,709.7887704,Credit,Target,International,3,Saturday,Business,0
76,731.7170963605774,Debit,Walmart,International,1,Monday,Business,0
77,773.5576432190862,Debit,Amazon,International,22,Tuesday,Business,0
78,83.30420521674945,Credit,Target,Local,21,Sunday,Business,0
79,364.8810712588299,Debit,Target,Local,20,Thursday,Personal,0
80,124.71036892987841,Debit,Target,International,22,Thursday,Business,0
81,864.4723916168376,Credit,Walmart,Local,18,Wednesday,Personal,0
82,627.0651455592823,Credit,Target,International,20,Thursday,Business,0
83,337.5890446041227,Debit,Target,Local,17,Monday,Business,0
84,72.92276678,Credit,Amazon,International,20,Monday,Personal,0
85,317.8724984985056,Credit,Target,Local,6,Wednesday,Personal,0
86,331.9314888064796,Debit,Walmart,Local,10,Sunday,Personal,0
87,732.3101165546834,Debit,Target,Local,9,Friday,Personal,0
88,641.1818966,Credit,Walmart,Local,10,Sunday,Personal,0
89,888.3406151505633,Debit,Target,International,22,Wednesday,Personal,0
90,477.4927759103298,Credit,Target,International,8,Friday,Business,0
91,128.3983034789187,Credit,Target,Local,2,Friday,Business,0
92,716.1123393507651,Debit,Walmart,Local,23,Tuesday,Business,0
93,763.1771981307285,Debit,Amazon,Local,4,Saturday,Business,0
94,565.6644255938013,Credit,Walmart,Local,22,Thursday,Business,0
95,773.2575081550153,Credit,Amazon,International,0,Sunday,Business,0
96,498.85764040074685,Credit,Walmart,Local,0,Friday,Business,0
97,527.5055010881741,Debit,Target,Local,19,Tuesday,Business,0
98,433.26560817496414,Credit,Target,Local,4,Wednesday,Personal,0
99,35.164935476654236,Debit,Amazon,Local,18,Wednesday,Business,0
100,116.81251272337141,Credit,Amazon,Local,5,Sunday,Business,0
101,41.11489382986691,Debit,Walmart,Local,2,Sunday,Personal,0
102,640.0463071511426,Credit,Walmart,Local,20,Friday,Personal,0
103,321.2124212655634,Debit,Amazon,Local,12,Sunday,Business,0
104,513.4849842530557,Credit,Amazon,International,16,Tuesday,Personal,0
105,908.4908092,Credit,Walmart,Local,2,Monday,Personal,0
106,256.7993068573862,Credit,Amazon,Local,22,Sunday,Personal,0
107,416.2790938052734,Credit,Amazon,Local,2,Saturday,Personal,1
108,757.9956271576182,Debit,Amazon,Local,20,Saturday,Business,0
109,236.51018383670623,Debit,Amazon,International,22,Thursday,Personal,0
110,86.21011073050506,Debit,Target,Local,12,Friday,Business,0
111,296.85393838463034,Debit,Target,International,1,Monday,Personal,0
112,169.60907438146438,Debit,Amazon,International,2,Thursday,Personal,0
113,930.4006758191473,Credit,Walmart,International,19,Monday,Personal,0
114,810.0391757687728,Debit,Target,International,15,Saturday,Personal,0
115,637.0697189453192,Debit,Walmart,Local,20,Tuesday,Personal,0
116,872.7459842858406,Debit,Walmart,International,11,Sunday,Personal,0
117,805.6353561301233,Debit,Target,International,8,Friday,Personal,0
118,194.70435829717547,Credit,Walmart,Local,15,Monday,Personal,0
119,893.6334085,Credit,Walmart,International,3,Monday,Personal,0
120,543.9488194964943,Credit,Amazon,International,19,Monday,Business,0
121,809.3657536124219,Credit,Amazon,International,17,Saturday,Business,0
122,897.1303869242583,Debit,Amazon,International,0,Friday,Business,0
123,324.8234402221452,Debit,Target,Local,6,Tuesday,Personal,0
124,118.95140528239999,Credit,Amazon,International,19,Tuesday,Personal,0
125,235.65581091652226,Credit,Walmart,Local,11,Monday,Personal,0
126,432.83671073999375,Debit,Walmart,Local,7,Tuesday,Business,0
127,819.8346182632682,Debit,Walmart,Local,7,Thursday,Personal,0
128,862.1232774,Credit,Walmart,International,23,Tuesday,Business,0
129,16.882609225878795,Credit,Walmart,International,21,Monday,Business,0
130,515.6398295517901,Credit,Target,Local,8,Thursday,Personal,0
131,423.2368931172912,Credit,Walmart,Local,13,Friday,Business,0
132,229.88673236602295,Debit,Target,Local,19,Wednesday,Personal,0
133,128.66671366034598,Debit,Walmart,Local,4,Saturday,Business,0
134,344.23901968959166,Debit,Target,Local,19,Tuesday,Personal,0
135,943.4806069,Credit,Target,Local,20,Sunday,Personal,0
136,329.9709027005477,Debit,Walmart,International,1,Thursday,Personal,0
137,523.6027155259325,Debit,Walmart,International,20,Wednesday,Personal,0
138,705.9887693062261,Credit,Walmart,International,9,Friday,Personal,0
139,369.99330635550103,Credit,Walmart,Local,23,Wednesday,Business,0
140,972.0642618937511,Credit,Amazon,International,8,Friday,Personal,0
141,962.8228219926901,Credit,Amazon,Local,6,Monday,Personal,0
142,259.2644728671105,Credit,Target,Local,22,Monday,Business,0
143,502.2760208334616,Credit,Target,International,21,Saturday,Business,0
144,307.86952671860195,Debit,Amazon,Local,17,Saturday,Personal,0
145,291.9920894336929,Debit,Target,International,11,Friday,Business,0
146,46.51807788098747,Debit,Walmart,International,10,Wednesday,Personal,0
147,613.4686906400979,Debit,Target,International,9,Saturday,Personal,0
148,507.6522329965729,Debit,Target,Local,12,Tuesday,Personal,0
149,60.96396373748946,Debit,Target,Local,8,Wednesday,Business,0
150,285.8599995942453,Credit,Amazon,Local,15,Saturday,Personal,0
151,909.1832271069871,Credit,Amazon,International,20,Wednesday,Personal,0
152,247.1662717603027,Credit,Target,Local,21,Sunday,Personal,0
153,153.44592337031085,Debit,Walmart,International,16,Tuesday,Personal,0
154,494.5582326747874,Debit,Target,Local,4,Wednesday,Personal,0
155,985.7939495694947,Credit,Amazon,International,5,Wednesday,Personal,0
156,249.6347187963854,Credit,Walmart,International,9,Thursday,Personal,0
157,675.4141919318198,Credit,Target,Local,10,Friday,Business,0
158,764.0034191754304,Credit,Amazon,Local,1,Monday,Personal,0
159,245.26116855247568,Credit,Walmart,International,6,Saturday,Personal,0
160,730.9341851,Debit,Target,International,13,Sunday,Personal,1
161,374.1053013920607,Debit,Amazon,Local,3,Saturday,Business,0
162,635.9827722876437,Debit,Walmart,International,4,Saturday,Business,0
163,637.1944136532858,Credit,Target,Local,18,Friday,Personal,0
164,540.4169372340109,Debit,Walmart,Local,20,Wednesday,Personal,0
165,99.38687235386422,Credit,Walmart,International,19,Tuesday,Business,0
166,836.9494706333456,Debit,Walmart,Local,9,Tuesday,Personal,0
167,327.5722643220185,Credit,Amazon,International,5,Monday,Personal,0
168,194.6533252958557,Credit,Target,Local,1,Monday,Personal,0
169,50.367390139216276,Debit,Walmart,International,2,Monday,Personal,0
170,594.9840137563594,Debit,Walmart,Local,14,Tuesday,Business,0
171,680.7887182238596,Debit,Walmart,Local,9,Wednesday,Personal,0
172,26.42195063857759,Debit,Amazon,International,16,Monday,Business,0
173,516.9721277162882,Debit,Walmart,Local,6,Monday,Personal,0
174,234.23081744595856,Credit,Amazon,International,1,Sunday,Business,1
175,648.7210625053553,Debit,Amazon,International,6,Tuesday,Personal,0
176,182.62276471494152,Debit,Walmart,International,14,Saturday,Personal,0
177,694.0283607214413,Credit,Walmart,International,2,Wednesday,Business,0
178,392.86799283753203,Debit,Amazon,International,4,Monday,Personal,0
179,937.3626888493671,Credit,Amazon,Local,21,Wednesday,Business,0
180,146.1457347045333,Debit,Walmart,Local,7,Thursday,Business,0
181,347.65568753975595,Debit,Amazon,Local,3,Saturday,Personal,0
182,122.33878602818318,Credit,Amazon,Local,17,Saturday,Personal,0
183,925.4466820957772,Debit,Walmart,Local,18,Monday,Business,1
184,878.5659598471713,Debit,Walmart,Local,7,Monday,Business,0
185,265.3622114,Debit,Target,Local,22,Sunday,Business,0
186,663.3842055738372,Debit,Walmart,International,5,Tuesday,Personal,0
187,819.0499781992037,Credit,Walmart,International,4,Saturday,Personal,0
188,559.6488034834678,Credit,Walmart,International,4,Sunday,Personal,0
189,534.3540725724464,Debit,Target,Local,16,Thursday,Business,0
190,249.43376799144716,Debit,Amazon,International,5,Thursday,Personal,0
191,102.17174012784022,Credit,Walmart,Local,12,Thursday,Business,0
192,898.2436003737935,Credit,Walmart,Local,8,Friday,Business,0
193,901.4138765916972,Debit,Target,Local,23,Tuesday,Business,0
194,636.7704427005352,Credit,Target,International,11,Tuesday,Personal,0
195,345.63949313821365,Credit,Target,International,9,Monday,Personal,0
196,355.7174788665343,Credit,Amazon,International,0,Tuesday,Business,0
197,728.6961220815369,Credit,Target,Local,10,Monday,Business,0
198,898.1391573530514,Debit,Amazon,Local,5,Sunday,Business,0
199,888.2155600224661,Credit,Walmart,Local,2,Monday,Business,0
